  0.159,   0.079,  -4.122,   0.000
  0.318,   0.157,  -2.174,   0.001
  0.478,   0.232,  -1.530,   0.002
  0.637,   0.303,  -1.198,   0.005
  0.796,   0.367,  -0.982,   0.010
  0.955,   0.425,  -0.821,   0.017
  1.115,   0.475,  -0.687,   0.027
  1.274,   0.516,  -0.567,   0.039
  1.433,   0.548,  -0.457,   0.054
  1.592,   0.569,  -0.352,   0.072
  1.752,   0.580,  -0.253,   0.092
  1.911,   0.581,  -0.158,   0.115
  2.070,   0.571,  -0.068,   0.140
  2.229,   0.552,   0.017,   0.167
  2.389,   0.523,   0.095,   0.196
  2.548,   0.485,   0.167,   0.226
  2.707,   0.439,   0.230,   0.255
  2.866,   0.387,   0.285,   0.285
  3.025,   0.329,   0.331,   0.314
  3.185,   0.267,   0.368,   0.341
  3.344,   0.203,   0.394,   0.365
  3.503,   0.136,   0.410,   0.387
  3.662,   0.069,   0.417,   0.405
  3.822,   0.004,   0.413,   0.420
  3.981,  -0.059,   0.400,   0.429
  4.140,  -0.118,   0.378,   0.434
  4.299,  -0.172,   0.349,   0.433
  4.459,  -0.220,   0.312,   0.427
  4.618,  -0.261,   0.269,   0.415
  4.777,  -0.294,   0.221,   0.398
  4.936,  -0.320,   0.169,   0.375
  5.096,  -0.337,   0.115,   0.347
  5.255,  -0.345,   0.060,   0.315
  5.414,  -0.345,   0.005,   0.278
  5.573,  -0.337,  -0.048,   0.237
  5.732,  -0.320,  -0.099,   0.193
  5.892,  -0.297,  -0.146,   0.147
  6.051,  -0.266,  -0.188,   0.099
  6.210,  -0.230,  -0.224,   0.051
  6.369,  -0.190,  -0.255,   0.003
  6.529,  -0.146,  -0.278,  -0.044
  6.688,  -0.099,  -0.294,  -0.089
  6.847,  -0.051,  -0.302,  -0.131
  7.006,  -0.003,  -0.303,  -0.169
  7.166,   0.044,  -0.296,  -0.203
  7.325,   0.089,  -0.282,  -0.232
  7.484,   0.131,  -0.262,  -0.256
  7.643,   0.169,  -0.235,  -0.274
  7.803,   0.202,  -0.203,  -0.285
  7.962,   0.229,  -0.167,  -0.291
  8.121,   0.250,  -0.128,  -0.290
  8.280,   0.264,  -0.086,  -0.282
  8.439,   0.272,  -0.043,  -0.269
  8.599,   0.273,   0.001,  -0.250
  8.758,   0.267,   0.043,  -0.226
  8.917,   0.254,   0.084,  -0.197
  9.076,   0.236,   0.122,  -0.165
  9.236,   0.212,   0.156,  -0.129
  9.395,   0.183,   0.186,  -0.091
  9.554,   0.150,   0.211,  -0.052
  9.713,   0.114,   0.230,  -0.012
  9.873,   0.075,   0.243,   0.028
 10.032,   0.035,   0.250,   0.066
 10.191,  -0.004,   0.250,   0.102
 10.350,  -0.044,   0.245,   0.135
 10.510,  -0.081,   0.233,   0.165
 10.669,  -0.116,   0.215,   0.190
 10.828,  -0.147,   0.193,   0.211
 10.987,  -0.175,   0.166,   0.226
 11.146,  -0.197,   0.135,   0.236
 11.306,  -0.215,   0.102,   0.241
 11.465,  -0.227,   0.066,   0.239
 11.624,  -0.233,   0.029,   0.232
 11.783,  -0.233,  -0.008,   0.220
 11.943,  -0.227,  -0.044,   0.203
 12.102,  -0.216,  -0.079,   0.181
 12.261,  -0.199,  -0.112,   0.155
 12.420,  -0.178,  -0.141,   0.126
 12.580,  -0.152,  -0.166,   0.094
 12.739,  -0.123,  -0.187,   0.060
 12.898,  -0.092,  -0.203,   0.026
 13.057,  -0.058,  -0.213,  -0.009
 13.217,  -0.023,  -0.218,  -0.043
 13.376,   0.011,  -0.218,  -0.076
 13.535,   0.045,  -0.212,  -0.107
 13.694,   0.078,  -0.201,  -0.134
 13.854,   0.108,  -0.185,  -0.158
 14.013,   0.135,  -0.165,  -0.178
 14.172,   0.159,  -0.141,  -0.194
 14.331,   0.178,  -0.113,  -0.204
 14.490,   0.193,  -0.083,  -0.210
 14.650,   0.202,  -0.051,  -0.211
 14.809,   0.207,  -0.018,  -0.206
 14.968,   0.206,   0.015,  -0.196
 15.127,   0.200,   0.047,  -0.182
 15.287,   0.189,   0.077,  -0.164
 15.446,   0.173,   0.106,  -0.142
 15.605,   0.154,   0.131,  -0.116
 15.764,   0.130,   0.153,  -0.088
 15.924,   0.104,   0.171,  -0.059
 16.083,   0.075,   0.184,  -0.028
 16.242,   0.045,   0.193,   0.004
 16.401,   0.014,   0.197,   0.035
 16.561,  -0.018,   0.195,   0.064
 16.720,  -0.048,   0.189,   0.092
 16.879,  -0.077,   0.178,   0.118
 17.038,  -0.104,   0.163,   0.140
 17.197,  -0.128,   0.144,   0.159
 17.357,  -0.148,   0.121,   0.173
 17.516,  -0.165,   0.096,   0.184
 17.675,  -0.177,   0.068,   0.189
 17.834,  -0.185,   0.039,   0.190
 17.994,  -0.188,   0.009,   0.187
 18.153,  -0.186,  -0.020,   0.178
 18.312,  -0.180,  -0.049,   0.166
 18.471,  -0.169,  -0.077,   0.149
 18.631,  -0.154,  -0.102,   0.129
 18.790,  -0.135,  -0.125,   0.106
 18.949,  -0.113,  -0.144,   0.081
 19.108,  -0.089,  -0.160,   0.054
 19.268,  -0.062,  -0.171,   0.026
 19.427,  -0.034,  -0.178,  -0.003
 19.586,  -0.005,  -0.180,  -0.031
 19.745,   0.023,  -0.178,  -0.059
 19.904,   0.051,  -0.172,  -0.085
 20.064,   0.077,  -0.161,  -0.108
 20.223,   0.101,  -0.146,  -0.129
 20.382,   0.123,  -0.127,  -0.146
 20.541,   0.141,  -0.106,  -0.159
 20.701,   0.155,  -0.082,  -0.169
 20.860,   0.165,  -0.056,  -0.174
 21.019,   0.172,  -0.029,  -0.175
 21.178,   0.173,  -0.002,  -0.171
 21.338,   0.171,   0.026,  -0.164
 21.497,   0.164,   0.052,  -0.152
 21.656,   0.153,   0.077,  -0.137
 21.815,   0.138,   0.100,  -0.118
 21.975,   0.120,   0.120,  -0.097
 22.134,   0.099,   0.138,  -0.073
 22.293,   0.076,   0.151,  -0.048
 22.452,   0.051,   0.161,  -0.022
 22.611,   0.025,   0.166,   0.005
 22.771,  -0.002,   0.167,   0.031
 22.930,  -0.028,   0.164,   0.056
 23.089,  -0.054,   0.157,   0.080
 23.248,  -0.078,   0.146,   0.102
 23.408,  -0.099,   0.132,   0.121
 23.567,  -0.119,   0.114,   0.137
 23.726,  -0.135,   0.093,   0.149
 23.885,  -0.147,   0.070,   0.158
 24.045,  -0.156,   0.046,   0.162
 24.204,  -0.161,   0.021,   0.163
 24.363,  -0.162,  -0.005,   0.159
 24.522,  -0.158,  -0.030,   0.152
 24.682,  -0.151,  -0.055,   0.141
 24.841,  -0.140,  -0.078,   0.126
 25.000,  -0.125,  -0.099,   0.108
 25.159,  -0.108,  -0.117,   0.088
 25.318,  -0.088,  -0.132,   0.066
 25.478,  -0.065,  -0.144,   0.042
 25.637,  -0.042,  -0.152,   0.017
 25.796,  -0.017,  -0.156,  -0.008
 25.955,   0.008,  -0.156,  -0.032
 26.115,   0.033,  -0.153,  -0.056
 26.274,   0.056,  -0.145,  -0.078
 26.433,   0.078,  -0.134,  -0.098
 26.592,   0.098,  -0.120,  -0.115
 26.752,   0.116,  -0.102,  -0.130
 26.911,   0.130,  -0.082,  -0.141
 27.070,   0.141,  -0.060,  -0.149
 27.229,   0.148,  -0.037,  -0.153
 27.389,   0.152,  -0.013,  -0.153
 27.548,   0.152,   0.011,  -0.149
 27.707,   0.148,   0.035,  -0.141
 27.866,   0.140,   0.058,  -0.130
 28.025,   0.129,   0.079,  -0.116
 28.185,   0.114,   0.098,  -0.099
 28.344,   0.097,   0.114,  -0.080
 28.503,   0.077,   0.128,  -0.059
 28.662,   0.056,   0.138,  -0.036
 28.822,   0.033,   0.145,  -0.013
 28.981,   0.010,   0.148,   0.011
 29.140,  -0.014,   0.147,   0.034
 29.299,  -0.037,   0.143,   0.056
 29.459,  -0.059,   0.135,   0.077
 29.618,  -0.079,   0.123,   0.095
 29.777,  -0.098,   0.109,   0.111
 29.936,  -0.113,   0.092,   0.125
 30.096,  -0.126,   0.073,   0.135
 30.255,  -0.136,   0.052,   0.142
 30.414,  -0.142,   0.029,   0.145
 30.573,  -0.144,   0.006,   0.144
 30.732,  -0.143,  -0.016,   0.140
 30.892,  -0.138,  -0.039,   0.132
 31.051,  -0.130,  -0.060,   0.121
 31.210,  -0.119,  -0.080,   0.108
 31.369,  -0.104,  -0.097,   0.091
 31.529,  -0.087,  -0.112,   0.072
 31.688,  -0.068,  -0.124,   0.052
 31.847,  -0.047,  -0.133,   0.030
 32.006,  -0.026,  -0.139,   0.008
 32.166,  -0.003,  -0.141,  -0.014
 32.325,   0.019,  -0.139,  -0.036
 32.484,   0.041,  -0.134,  -0.057
 32.643,   0.061,  -0.126,  -0.076
 32.803,   0.080,  -0.114,  -0.094
 32.962,   0.097,  -0.100,  -0.108
 33.121,   0.111,  -0.083,  -0.121
 33.280,   0.123,  -0.064,  -0.130
 33.439,   0.131,  -0.044,  -0.135
 33.599,   0.136,  -0.022,  -0.138
 33.758,   0.137,  -0.000,  -0.137
 33.917,   0.135,   0.021,  -0.132
 34.076,   0.130,   0.042,  -0.124
 34.236,   0.121,   0.062,  -0.113
 34.395,   0.110,   0.081,  -0.100
 34.554,   0.095,   0.097,  -0.084
 34.713,   0.079,   0.110,  -0.065
 34.873,   0.060,   0.121,  -0.046
 35.032,   0.040,   0.129,  -0.025
 35.191,   0.019,   0.133,  -0.004
 35.350,  -0.002,   0.134,   0.018
 35.510,  -0.024,   0.132,   0.038
 35.669,  -0.044,   0.126,   0.058
 35.828,  -0.063,   0.117,   0.076
 35.987,  -0.081,   0.106,   0.092
 36.146,  -0.096,   0.091,   0.106
 36.306,  -0.109,   0.075,   0.117
 36.465,  -0.120,   0.056,   0.125
 36.624,  -0.127,   0.036,   0.130
 36.783,  -0.131,   0.016,   0.132
 36.943,  -0.131,  -0.005,   0.130
 37.102,  -0.128,  -0.026,   0.125
 37.261,  -0.122,  -0.046,   0.117
 37.420,  -0.113,  -0.064,   0.106
 37.580,  -0.102,  -0.081,   0.092
 37.739,  -0.087,  -0.096,   0.077
 37.898,  -0.071,  -0.109,   0.059
 38.057,  -0.052,  -0.118,   0.040
 38.217,  -0.033,  -0.125,   0.020
 38.376,  -0.013,  -0.128,  -0.001
 38.535,   0.008,  -0.128,  -0.021
 38.694,   0.028,  -0.125,  -0.041
 38.854,   0.047,  -0.119,  -0.059
 39.013,   0.065,  -0.110,  -0.076
 39.172,   0.082,  -0.098,  -0.092
 39.331,   0.096,  -0.083,  -0.104
 39.490,   0.108,  -0.067,  -0.114
 39.650,   0.117,  -0.049,  -0.121
 39.809,   0.123,  -0.030,  -0.125
 39.968,   0.126,  -0.010,  -0.126
 40.127,   0.126,   0.010,  -0.124
 40.287,   0.122,   0.030,  -0.119
 40.446,   0.116,   0.049,  -0.110
 40.605,   0.106,   0.066,  -0.099
 40.764,   0.094,   0.082,  -0.086
 40.924,   0.080,   0.096,  -0.070
 41.083,   0.063,   0.107,  -0.053
 41.242,   0.046,   0.116,  -0.034
 41.401,   0.027,   0.121,  -0.015
 41.561,   0.007,   0.124,   0.005
 41.720,  -0.013,   0.123,   0.024
 41.879,  -0.032,   0.119,   0.043
 42.038,  -0.050,   0.112,   0.061
 42.197,  -0.067,   0.103,   0.077
 42.357,  -0.083,   0.091,   0.091
 42.516,  -0.096,   0.076,   0.103
 42.675,  -0.106,   0.060,   0.112
 42.834,  -0.114,   0.042,   0.118
 42.994,  -0.119,   0.024,   0.121
 43.153,  -0.121,   0.004,   0.121
 43.312,  -0.120,  -0.015,   0.119
 43.471,  -0.116,  -0.034,   0.113
 43.631,  -0.109,  -0.052,   0.104
 43.790,  -0.099,  -0.068,   0.093
 43.949,  -0.087,  -0.083,   0.079
 44.108,  -0.073,  -0.096,   0.064
 44.268,  -0.057,  -0.106,   0.047
 44.427,  -0.039,  -0.113,   0.029
 44.586,  -0.021,  -0.118,   0.010
 44.745,  -0.002,  -0.119,  -0.009
 44.904,   0.017,  -0.118,  -0.028
 45.064,   0.036,  -0.113,  -0.046
 45.223,   0.053,  -0.106,  -0.062
 45.382,   0.069,  -0.096,  -0.077
 45.541,   0.083,  -0.084,  -0.090
 45.701,   0.095,  -0.070,  -0.101
 45.860,   0.105,  -0.053,  -0.109
 46.019,   0.112,  -0.036,  -0.115
 46.178,   0.116,  -0.018,  -0.117
 46.338,   0.117,   0.001,  -0.117
 46.497,   0.115,   0.019,  -0.113
 46.656,   0.111,   0.037,  -0.107
 46.815,   0.103,   0.054,  -0.098
 46.975,   0.093,   0.070,  -0.087
 47.134,   0.081,   0.084,  -0.073
 47.293,   0.066,   0.095,  -0.058
 47.452,   0.050,   0.104,  -0.041
 47.611,   0.033,   0.111,  -0.024
 47.771,   0.015,   0.114,  -0.005
 47.930,  -0.003,   0.115,   0.013
 48.089,  -0.021,   0.113,   0.031
 48.248,  -0.039,   0.108,   0.048
 48.408,  -0.056,   0.100,   0.064
 48.567,  -0.071,   0.090,   0.078
 48.726,  -0.084,   0.078,   0.090
 48.885,  -0.095,   0.063,   0.100
 49.045,  -0.104,   0.047,   0.107
 49.204,  -0.110,   0.030,   0.112
 49.363,  -0.113,   0.012,   0.114
 49.522,  -0.113,  -0.006,   0.113
 49.682,  -0.111,  -0.023,   0.109
 49.841,  -0.105,  -0.041,   0.102
 50.000,  -0.098,  -0.057,   0.093
 50.159,  -0.087,  -0.071,   0.081
 50.318,  -0.075,  -0.084,   0.068
 50.478,  -0.060,  -0.095,   0.053
 50.637,  -0.044,  -0.103,   0.036
 50.796,  -0.027,  -0.109,   0.019
 50.955,  -0.010,  -0.111,   0.001
 51.115,   0.008,  -0.111,  -0.017
 51.274,   0.025,  -0.108,  -0.034
 51.433,   0.042,  -0.103,  -0.050
 51.592,   0.058,  -0.095,  -0.065
 51.752,   0.072,  -0.084,  -0.078
 51.911,   0.084,  -0.072,  -0.090
 52.070,   0.095,  -0.057,  -0.099
 52.229,   0.102,  -0.041,  -0.105
 52.389,   0.107,  -0.025,  -0.109
 52.548,   0.110,  -0.007,  -0.110
 52.707,   0.109,   0.010,  -0.108
 52.866,   0.106,   0.027,  -0.104
 53.025,   0.100,   0.044,  -0.097
 53.185,   0.092,   0.059,  -0.087
 53.344,   0.081,   0.073,  -0.076
 53.503,   0.069,   0.085,  -0.062
 53.662,   0.054,   0.094,  -0.047
 53.822,   0.039,   0.102,  -0.031
 53.981,   0.022,   0.106,  -0.014
 54.140,   0.005,   0.108,   0.003
 54.299,  -0.012,   0.108,   0.020
 54.459,  -0.029,   0.104,   0.037
 54.618,  -0.045,   0.098,   0.052
 54.777,  -0.060,   0.089,   0.067
 54.936,  -0.073,   0.079,   0.079
 55.096,  -0.085,   0.066,   0.089
 55.255,  -0.094,   0.052,   0.098
 55.414,  -0.101,   0.036,   0.103
 55.573,  -0.105,   0.020,   0.106
 55.732,  -0.107,   0.003,   0.107
 55.892,  -0.106,  -0.014,   0.105
 56.051,  -0.102,  -0.031,   0.100
 56.210,  -0.096,  -0.047,   0.092
 56.369,  -0.087,  -0.061,   0.082
 56.529,  -0.076,  -0.074,   0.071
 56.688,  -0.063,  -0.085,   0.057
 56.847,  -0.049,  -0.094,   0.042
 57.006,  -0.033,  -0.100,   0.026
 57.166,  -0.017,  -0.104,   0.010
